DV,A,B,C,S,I
1275,2,2,1,11,28
659,1,1,1,11,87
674,2,2,2,11,38
1834,2,1,2,11,114
608,2,1,2,11,109
849,2,1,2,11,22
688,1,2,2,11,25
693,1,2,2,11,73
560,2,1,1,11,79
942,2,2,1,11,88
562,1,1,1,11,107
628,1,1,2,11,37
559,1,1,1,11,66
723,2,1,2,11,39
1423,1,2,2,11,55
789,1,2,1,11,106
739,2,2,2,11,64
509,1,1,2,11,44
737,2,1,1,11,40
521,2,2,2,11,2
717,1,2,1,11,90
576,2,2,1,11,80
532,2,2,2,11,98
868,2,2,1,11,84
598,1,2,2,11,41
448,1,1,2,11,57
653,2,1,1,11,46
680,1,2,1,11,65
492,1,1,1,11,4
448,1,2,1,11,30
686,2,1,2,11,105
632,1,2,1,11,103
625,2,1,1,11,96
772,1,1,2,11,99
604,1,2,1,11,86
646,2,1,2,11,112
566,2,2,2,11,100
576,2,2,2,11,7
933,1,2,2,11,17
590,1,2,2,11,20
547,2,2,2,11,58
737,2,2,2,11,27
616,2,2,2,11,13
676,2,2,1,11,8
666,1,1,2,11,21
808,2,1,1,11,1
548,2,1,1,11,29
600,2,1,2,11,3
663,2,1,1,11,74
853,2,1,2,11,82
525,2,2,1,11,16
640,1,2,2,11,97
585,1,1,1,11,32
603,1,1,2,11,10
537,1,2,1,11,23
810,2,2,1,11,91
1143,1,2,1,11,54
654,1,2,2,11,51
637,2,2,1,11,77
658,1,1,1,11,34
853,2,1,2,11,63
1086,1,1,1,11,24
476,1,1,2,11,48
705,1,2,2,11,59
657,2,1,2,11,12
1181,1,2,1,11,14
613,2,2,1,11,36
630,1,2,1,11,110
617,2,1,2,11,5
940,2,1,1,11,71
1758,2,2,2,11,75
657,1,1,2,11,56
524,1,1,1,11,94
763,1,1,1,11,33
534,1,1,1,11,92
478,2,1,1,11,70
710,1,2,2,11,43
891,2,1,2,11,18
559,2,1,1,11,118
569,1,1,2,11,89
541,1,1,1,11,50
542,1,1,1,11,60
787,2,1,1,11,81
765,1,1,2,11,113
688,1,2,1,11,115
548,1,1,2,11,11
646,2,2,1,11,78
602,2,1,1,11,42
685,1,2,2,11,9
637,1,1,2,11,68
601,1,1,2,11,15
1244,2,1,1,11,53
728,1,1,1,11,108
849,2,1,1,11,19
496,1,2,2,11,76
496,1,2,1,11,101
947,1,1,2,11,93
636,2,2,1,11,116
970,2,2,2,11,102
609,2,1,2,11,31
803,1,2,2,11,67
608,2,2,1,11,95
726,2,2,1,15,80
401,2,2,1,15,8
542,2,2,2,15,104
465,1,2,2,15,51
451,1,1,2,15,48
450,2,2,1,15,36
491,1,1,2,15,93
418,1,1,1,15,108
965,2,2,2,15,35
439,2,2,2,15,38
569,2,1,1,15,1
440,1,1,1,15,50
448,2,2,2,15,2
514,1,2,2,15,73
427,1,1,1,15,107
967,1,2,2,15,85
484,1,2,2,15,76
497,1,2,1,15,101
409,1,1,2,15,83
436,1,1,2,15,21
456,1,2,1,15,90
506,1,1,2,15,99
674,2,2,1,15,49
503,2,1,1,15,96
382,1,1,1,15,4
467,1,1,1,15,32
514,1,2,2,15,43
458,1,1,2,15,56
535,2,1,2,15,3
469,2,2,2,15,27
512,2,1,2,15,39
480,1,2,1,15,23
452,2,1,2,15,12
623,2,2,1,15,91
558,2,1,1,15,70
660,2,2,1,15,28
480,2,1,1,15,118
925,2,2,2,15,47
655,2,1,1,15,40
540,1,2,2,15,97
586,1,2,1,15,110
358,1,1,1,15,117
429,2,1,1,15,81
512,2,1,1,15,53
796,2,2,1,15,95
604,1,2,2,15,25
898,2,1,2,15,63
444,1,2,1,15,45
543,1,2,1,15,103
596,2,1,2,15,31
1082,1,2,2,15,67
441,1,1,2,15,68
461,2,2,1,15,78
528,1,2,1,15,54
652,2,2,2,15,13
654,1,2,2,15,20
723,2,1,1,15,42
708,2,2,2,15,75
604,1,1,1,15,34
519,1,2,2,15,59
506,1,1,1,15,24
764,2,1,2,15,22
659,2,2,1,15,84
653,2,2,2,15,100
503,1,2,1,15,30
726,2,1,1,15,71
461,1,1,2,15,57
534,2,1,2,15,109
516,1,2,1,15,14
511,1,2,1,15,86
490,1,1,1,15,33
505,2,2,1,15,88
600,1,2,1,15,106
418,2,2,1,15,116
580,2,2,1,15,16
464,2,1,2,15,62
397,1,1,2,15,44
457,1,1,1,15,60
604,1,2,1,15,61
528,1,2,2,15,17
547,1,1,2,15,11
450,2,2,2,15,7
434,1,1,1,15,94
711,2,2,2,15,58
651,2,1,2,15,18
573,2,1,2,15,114
433,2,2,2,15,69
510,2,2,2,15,98
808,2,1,2,15,5
531,1,2,2,15,41
500,1,1,1,15,66
563,1,2,2,15,9
434,2,1,1,15,79
476,1,1,2,15,10
402,2,2,1,15,77
548,2,1,2,15,112
465,2,1,1,15,29
444,1,2,1,15,65
478,2,1,2,15,111
476,2,1,1,15,74
397,1,1,2,15,15
440,1,1,1,15,92
511,2,2,2,15,64
542,2,1,2,15,105
573,2,1,2,15,82
412,1,1,2,15,89
479,2,2,2,15,102
649,1,1,1,15,87
473,1,1,2,15,113
531,1,1,2,15,37
593,2,2,2,17,7
725,2,1,1,17,118
1080,2,2,2,17,58
815,1,1,1,17,33
807,1,1,2,17,89
838,2,2,2,17,47
689,2,2,2,17,75
634,1,1,1,17,4
619,2,2,2,17,100
619,1,2,1,17,110
